"ЭтоГруппа";"Группа";"Наименование";"код";"ккал";"жиры";"белки";"углеводы";"цена";"описание";"рисунок"
1;0;"горячие блюда";1;;;;;;;
0;1;"цыпленок табака в корнишонах";101;200;350;420;380;120;"вкуснейший цыпленок в отборных корнишонах";"1_16.png"
0;1;"равиоли с мидиями по-флорентийски";102;200;350;420;380;140;"превосходные мидии по старинному рецепту";"1_18.png"
0;1;"рожки митьковские в томате";103;200;350;420;380;200;"Дык, братушка... макарошки в портвейно-томатном соусе. По-митьковски.";"1_24.png"
0;1;"говяжья нарезка со спаржей";104;200;350;420;380;340;"Нежная говядина и свежая спаржа — неповторимое сочетание вкуса!";"1_41.png"
0;1;"сердце бизона в подливе";105;200;350;420;380;210;"Редчайшая возможность для гурмана — съесть сердце вымирающего зверя.";"1_47.png"
0;1;"томатный суп «У Гиви»";106;200;350;420;380;230;"Поклонникам классической кавказской кухни. Томатный суп — источник долголетия и неиссякаемых мужских сил!";"1_48.png"
0;1;"раки в собственном соку вареные";107;200;350;420;380;210;"Простое, но изысканное блюдо — раки.";"1_49.png"
0;1;"утиные ножки в баклажанах";108;200;350;420;380;230;"Эти ароматные ножки тают во рту.";"1_50.png"
0;1;"взвар рисовый с мидиями";109;200;350;420;380;320;"Неповторимое сочетание риса и морепродуктов ошеломят даже искушенных гурманов.";"1_54.png"
0;1;"свекольник по-кацапски";110;200;350;420;380;120;"Домашний свекольник порадует Вас своим привычным вкусом.";"1_56.png"
0;1;"гребешок в яичном бульоне";111;200;350;420;380;130;"Морской обитатель в яичном бульоне";"1_59.png"
0;1;"печень осьминога ";112;200;350;420;380;150;" Запеченая печень гигантского осьминога.";"1_63.png"
0;1;"ассорти из морепродуктов ";113;200;350;420;380;320;"Креветко в морской капусте.";"1_64.png"
0;1;"каша кукурузная с кунжутом и болгарским перцем";114;200;350;420;380;320;"Нажористая кашка для детей и взрослых.";"1_65.png"
0;1;"желудочки отварные а ля сотэ";115;200;350;420;380;230;"Шедевр французской кухни в новом исполнении.";"1_71.png"
0;1;"горячие пампушки";116;200;350;420;380;240;"Эти пампушки сведут Вас с ума — они со шкварками!";"1_74.png"
0;1;"крабьи лапки в фасолевом пюре";117;200;350;420;380;180;"Всем попробовать пора бы, как вкусны и нежны крабы.";"1_79.png"
0;1;"котлета богатырская";118;200;350;420;380;140;"Полкило говяжьего фарша, приготовленного на пару в панировочных сухарях.";"1_80.png"
1;0;"закуски";2;;;;;;;
0;2;" говяжье мяско на косточке";201;300;350;420;380;550;"Полкило сочной, нежнейшей говядины с изысканным соуcом «Шри-Ланка».";"1_03.png"
0;2;"устрицы в сырном кляре";202;300;350;420;380;430;"Самая свежая зелень в сочетании с отборными мидиями в сырном кляре «Рокфор».";"1 04.png"
